model,family,task,split,arch,k,acc,tokens,config
0.5B,csp,csp-0004,calib,judge,4,0.0,2548.0,judge_k4
0.5B,csp,csp-0004,calib,vote,8,0.0,3096.0,vote_k8
0.5B,csp,csp-0004,calib,prog,8,0.0,3096.0,prog_k8
0.5B,csp,csp-0004,calib,oracle,8,0.0,3096.0,oracle_k8
0.5B,csp,csp-0004,calib,judge,8,0.0,5038.0,judge_k8
0.5B,csp,csp-0004,calib,seq,1,0.0,387.0,seq_r1
0.5B,csp,csp-0004,calib,seq,2,0.0,812.0,seq_r2
0.5B,csp,csp-0004,calib,seq,3,0.0,1237.0,seq_r3
0.5B,csp,csp-0004,calib,seq,4,0.0,1974.0,seq_r4
0.5B,csp,csp-0004,calib,long,2,0.0,739.0,long_m2
0.5B,csp,csp-0004,calib,long,4,0.0,714.0,long_m4
0.5B,csp,csp-0004,calib,debate,6,0.0,2717.0,debate_a3r2
0.5B,csp,csp-0005,calib,single,1,0.0,386.0,
0.5B,csp,csp-0005,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0005,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0005,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0005,calib,judge,4,0.0,2707.0,judge_k4
0.5B,csp,csp-0005,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0005,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0005,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0005,calib,judge,8,0.0,5291.0,judge_k8
0.5B,csp,csp-0005,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0005,calib,seq,2,0.0,1122.0,seq_r2
0.5B,csp,csp-0005,calib,seq,3,0.0,1859.0,seq_r3
0.5B,csp,csp-0005,calib,seq,4,0.0,2596.0,seq_r4
0.5B,csp,csp-0005,calib,long,2,1.0,503.0,long_m2
0.5B,csp,csp-0005,calib,long,4,1.0,503.0,long_m4
0.5B,csp,csp-0005,calib,debate,6,0.0,3126.0,debate_a3r2
0.5B,csp,csp-0006,calib,single,1,1.0,320.0,
0.5B,csp,csp-0006,calib,vote,4,1.0,1254.5,vote_k4
0.5B,csp,csp-0006,calib,prog,4,1.0,1254.5,prog_k4
0.5B,csp,csp-0006,calib,oracle,4,1.0,1254.5,oracle_k4
0.5B,csp,csp-0006,calib,judge,4,1.0,2235.0,judge_k4
0.5B,csp,csp-0006,calib,vote,8,1.0,2487.0,vote_k8
0.5B,csp,csp-0006,calib,prog,8,1.0,2487.0,prog_k8
0.5B,csp,csp-0006,calib,oracle,8,1.0,2487.0,oracle_k8
0.5B,csp,csp-0006,calib,judge,8,1.0,4306.0,judge_k8
0.5B,csp,csp-0006,calib,seq,1,1.0,320.0,seq_r1
0.5B,csp,csp-0006,calib,seq,2,1.0,924.0,seq_r2
0.5B,csp,csp-0006,calib,seq,3,1.0,1279.0,seq_r3
0.5B,csp,csp-0006,calib,seq,4,0.0,1701.0,seq_r4
0.5B,csp,csp-0006,calib,long,2,1.0,398.0,long_m2
0.5B,csp,csp-0006,calib,long,4,1.0,398.0,long_m4
0.5B,csp,csp-0006,calib,debate,6,1.0,2232.0,debate_a3r2
0.5B,csp,csp-0007,calib,single,1,0.0,386.0,
0.5B,csp,csp-0007,calib,vote,4,1.0,1391.0,vote_k4
0.5B,csp,csp-0007,calib,prog,4,1.0,1391.0,prog_k4
0.5B,csp,csp-0007,calib,oracle,4,1.0,1391.0,oracle_k4
0.5B,csp,csp-0007,calib,judge,4,1.0,2405.5,judge_k4
0.5B,csp,csp-0007,calib,vote,8,1.0,2775.0,vote_k8
0.5B,csp,csp-0007,calib,prog,8,1.0,2775.0,prog_k8
0.5B,csp,csp-0007,calib,oracle,8,1.0,2775.0,oracle_k8
0.5B,csp,csp-0007,calib,judge,8,0.0,4728.0,judge_k8
0.5B,csp,csp-0007,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0007,calib,seq,2,0.0,904.0,seq_r2
0.5B,csp,csp-0007,calib,seq,3,0.0,1105.0,seq_r3
0.5B,csp,csp-0007,calib,seq,4,0.0,1334.0,seq_r4
0.5B,csp,csp-0007,calib,long,2,1.0,731.0,long_m2
0.5B,csp,csp-0007,calib,long,4,1.0,731.0,long_m4
0.5B,csp,csp-0007,calib,debate,6,0.0,2057.0,debate_a3r2
0.5B,csp,csp-0008,calib,single,1,0.0,387.0,
0.5B,csp,csp-0008,calib,vote,4,0.0,1548.0,vote_k4
0.5B,csp,csp-0008,calib,prog,4,0.0,1548.0,prog_k4
0.5B,csp,csp-0008,calib,oracle,4,0.0,1548.0,oracle_k4
0.5B,csp,csp-0008,calib,judge,4,0.0,2666.0,judge_k4
0.5B,csp,csp-0008,calib,vote,8,0.0,3096.0,vote_k8
0.5B,csp,csp-0008,calib,prog,8,0.0,3096.0,prog_k8
0.5B,csp,csp-0008,calib,oracle,8,0.0,3096.0,oracle_k8
0.5B,csp,csp-0008,calib,judge,8,0.0,5230.0,judge_k8
0.5B,csp,csp-0008,calib,seq,1,0.0,387.0,seq_r1
0.5B,csp,csp-0008,calib,seq,2,0.0,1125.0,seq_r2
0.5B,csp,csp-0008,calib,seq,3,0.0,1863.0,seq_r3
0.5B,csp,csp-0008,calib,seq,4,0.0,2601.0,seq_r4
0.5B,csp,csp-0008,calib,long,2,0.0,570.0,long_m2
0.5B,csp,csp-0008,calib,long,4,0.0,646.0,long_m4
0.5B,csp,csp-0008,calib,debate,6,0.0,2737.0,debate_a3r2
0.5B,csp,csp-0009,calib,single,1,0.0,386.0,
0.5B,csp,csp-0009,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0009,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0009,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0009,calib,judge,4,0.0,2686.0,judge_k4
0.5B,csp,csp-0009,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0009,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0009,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0009,calib,judge,8,0.0,5269.0,judge_k8
0.5B,csp,csp-0009,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0009,calib,seq,2,0.0,808.0,seq_r2
0.5B,csp,csp-0009,calib,seq,3,0.0,1231.0,seq_r3
0.5B,csp,csp-0009,calib,seq,4,0.0,1967.0,seq_r4
0.5B,csp,csp-0009,calib,long,2,0.0,686.0,long_m2
0.5B,csp,csp-0009,calib,long,4,0.0,686.0,long_m4
0.5B,csp,csp-0009,calib,debate,6,0.0,2561.0,debate_a3r2
0.5B,csp,csp-0010,calib,single,1,0.0,386.0,
0.5B,csp,csp-0010,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0010,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0010,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0010,calib,judge,4,0.0,2654.5,judge_k4
0.5B,csp,csp-0010,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0010,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0010,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0010,calib,judge,8,0.0,5219.0,judge_k8
0.5B,csp,csp-0010,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0010,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0010,calib,seq,3,0.0,1544.0,seq_r3
0.5B,csp,csp-0010,calib,seq,4,0.0,1966.0,seq_r4
0.5B,csp,csp-0010,calib,long,2,1.0,690.0,long_m2
0.5B,csp,csp-0010,calib,long,4,1.0,690.0,long_m4
0.5B,csp,csp-0010,calib,debate,6,0.0,2502.0,debate_a3r2
0.5B,csp,csp-0011,calib,single,1,0.0,386.0,
0.5B,csp,csp-0011,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0011,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0011,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0011,calib,judge,4,0.0,2686.5,judge_k4
0.5B,csp,csp-0011,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0011,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0011,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0011,calib,judge,8,0.0,5162.0,judge_k8
0.5B,csp,csp-0011,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0011,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0011,calib,seq,3,0.0,1859.0,seq_r3
0.5B,csp,csp-0011,calib,seq,4,0.0,2342.0,seq_r4
0.5B,csp,csp-0011,calib,long,2,0.0,738.0,long_m2
0.5B,csp,csp-0011,calib,long,4,0.0,837.0,long_m4
0.5B,csp,csp-0011,calib,debate,6,0.0,2670.0,debate_a3r2
0.5B,csp,csp-0012,calib,single,1,0.0,387.0,
0.5B,csp,csp-0012,calib,vote,4,0.0,1548.0,vote_k4
0.5B,csp,csp-0012,calib,prog,4,0.0,1548.0,prog_k4
0.5B,csp,csp-0012,calib,oracle,4,0.0,1548.0,oracle_k4
0.5B,csp,csp-0012,calib,judge,4,0.0,2708.0,judge_k4
0.5B,csp,csp-0012,calib,vote,8,0.0,3096.0,vote_k8
0.5B,csp,csp-0012,calib,prog,8,0.0,3096.0,prog_k8
0.5B,csp,csp-0012,calib,oracle,8,0.0,3096.0,oracle_k8
0.5B,csp,csp-0012,calib,judge,8,0.0,5279.0,judge_k8
0.5B,csp,csp-0012,calib,seq,1,0.0,387.0,seq_r1
0.5B,csp,csp-0012,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0012,calib,seq,3,0.0,1861.0,seq_r3
0.5B,csp,csp-0012,calib,seq,4,0.0,2283.0,seq_r4
0.5B,csp,csp-0012,calib,long,2,0.0,515.0,long_m2
0.5B,csp,csp-0012,calib,long,4,0.0,644.0,long_m4
0.5B,csp,csp-0012,calib,debate,6,0.0,2497.0,debate_a3r2
0.5B,csp,csp-0013,calib,single,1,0.0,386.0,
0.5B,csp,csp-0013,calib,vote,4,0.0,1523.5,vote_k4
0.5B,csp,csp-0013,calib,prog,4,0.0,1523.5,prog_k4
0.5B,csp,csp-0013,calib,oracle,4,0.0,1523.5,oracle_k4
0.5B,csp,csp-0013,calib,judge,4,0.0,2654.5,judge_k4
0.5B,csp,csp-0013,calib,vote,8,0.0,3047.0,vote_k8
0.5B,csp,csp-0013,calib,prog,8,0.0,3047.0,prog_k8
0.5B,csp,csp-0013,calib,oracle,8,0.0,3047.0,oracle_k8
0.5B,csp,csp-0013,calib,judge,8,0.0,5231.0,judge_k8
0.5B,csp,csp-0013,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0013,calib,seq,2,0.0,811.0,seq_r2
0.5B,csp,csp-0013,calib,seq,3,0.0,984.0,seq_r3
0.5B,csp,csp-0013,calib,seq,4,0.0,1470.0,seq_r4
0.5B,csp,csp-0013,calib,long,2,0.0,605.0,long_m2
0.5B,csp,csp-0013,calib,long,4,0.0,605.0,long_m4
0.5B,csp,csp-0013,calib,debate,6,1.0,2518.0,debate_a3r2
0.5B,csp,csp-0014,calib,single,1,0.0,386.0,
0.5B,csp,csp-0014,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0014,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0014,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0014,calib,judge,4,0.0,2652.0,judge_k4
0.5B,csp,csp-0014,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0014,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0014,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0014,calib,judge,8,0.0,5196.0,judge_k8
0.5B,csp,csp-0014,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0014,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0014,calib,seq,3,0.0,1858.0,seq_r3
0.5B,csp,csp-0014,calib,seq,4,0.0,2594.0,seq_r4
0.5B,csp,csp-0014,calib,long,2,1.0,738.0,long_m2
0.5B,csp,csp-0014,calib,long,4,1.0,738.0,long_m4
0.5B,csp,csp-0014,calib,debate,6,1.0,2825.0,debate_a3r2
0.5B,csp,csp-0015,calib,single,1,0.0,387.0,
0.5B,csp,csp-0015,calib,vote,4,0.0,1548.0,vote_k4
0.5B,csp,csp-0015,calib,prog,4,0.0,1548.0,prog_k4
0.5B,csp,csp-0015,calib,oracle,4,0.0,1548.0,oracle_k4
0.5B,csp,csp-0015,calib,judge,4,0.0,2651.0,judge_k4
0.5B,csp,csp-0015,calib,vote,8,0.0,3096.0,vote_k8
0.5B,csp,csp-0015,calib,prog,8,0.0,3096.0,prog_k8
0.5B,csp,csp-0015,calib,oracle,8,0.0,3096.0,oracle_k8
0.5B,csp,csp-0015,calib,judge,8,0.0,5265.0,judge_k8
0.5B,csp,csp-0015,calib,seq,1,0.0,387.0,seq_r1
0.5B,csp,csp-0015,calib,seq,2,0.0,1124.0,seq_r2
0.5B,csp,csp-0015,calib,seq,3,0.0,1862.0,seq_r3
0.5B,csp,csp-0015,calib,seq,4,0.0,2599.0,seq_r4
0.5B,csp,csp-0015,calib,long,2,0.0,739.0,long_m2
0.5B,csp,csp-0015,calib,long,4,0.0,922.0,long_m4
0.5B,csp,csp-0015,calib,debate,6,0.0,2550.0,debate_a3r2
0.5B,csp,csp-0016,calib,single,1,0.0,386.0,
0.5B,csp,csp-0016,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0016,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0016,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0016,calib,judge,4,0.0,2606.0,judge_k4
0.5B,csp,csp-0016,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0016,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0016,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0016,calib,judge,8,0.0,5154.0,judge_k8
0.5B,csp,csp-0016,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0016,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0016,calib,seq,3,0.0,1843.0,seq_r3
0.5B,csp,csp-0016,calib,seq,4,0.0,2562.0,seq_r4
0.5B,csp,csp-0016,calib,long,2,0.0,738.0,long_m2
0.5B,csp,csp-0016,calib,long,4,0.0,874.0,long_m4
0.5B,csp,csp-0016,calib,debate,6,0.0,2452.0,debate_a3r2
0.5B,csp,csp-0017,calib,single,1,0.0,386.0,
0.5B,csp,csp-0017,calib,vote,4,0.5,1510.0,vote_k4
0.5B,csp,csp-0017,calib,prog,4,0.5,1510.0,prog_k4
0.5B,csp,csp-0017,calib,oracle,4,0.5,1510.0,oracle_k4
0.5B,csp,csp-0017,calib,judge,4,0.0,2644.0,judge_k4
0.5B,csp,csp-0017,calib,vote,8,0.0,3020.0,vote_k8
0.5B,csp,csp-0017,calib,prog,8,1.0,3020.0,prog_k8
0.5B,csp,csp-0017,calib,oracle,8,1.0,3020.0,oracle_k8
0.5B,csp,csp-0017,calib,judge,8,1.0,5180.0,judge_k8
0.5B,csp,csp-0017,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0017,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0017,calib,seq,3,0.0,1860.0,seq_r3
0.5B,csp,csp-0017,calib,seq,4,0.0,2597.0,seq_r4
0.5B,csp,csp-0017,calib,long,2,0.0,549.0,long_m2
0.5B,csp,csp-0017,calib,long,4,0.0,549.0,long_m4
0.5B,csp,csp-0017,calib,debate,6,0.0,2512.0,debate_a3r2
0.5B,csp,csp-0018,calib,single,1,0.0,386.0,
0.5B,csp,csp-0018,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0018,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0018,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0018,calib,judge,4,0.0,2596.0,judge_k4
0.5B,csp,csp-0018,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0018,calib,prog,8,1.0,3088.0,prog_k8
0.5B,csp,csp-0018,calib,oracle,8,1.0,3088.0,oracle_k8
0.5B,csp,csp-0018,calib,judge,8,0.0,5163.0,judge_k8
0.5B,csp,csp-0018,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0018,calib,seq,2,0.0,1122.0,seq_r2
0.5B,csp,csp-0018,calib,seq,3,0.0,1859.0,seq_r3
0.5B,csp,csp-0018,calib,seq,4,0.0,2596.0,seq_r4
0.5B,csp,csp-0018,calib,long,2,0.0,738.0,long_m2
0.5B,csp,csp-0018,calib,long,4,1.0,830.0,long_m4
0.5B,csp,csp-0018,calib,debate,6,0.0,2450.0,debate_a3r2
0.5B,csp,csp-0019,calib,single,1,0.0,386.0,
0.5B,csp,csp-0019,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0019,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0019,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0019,calib,judge,4,0.0,2629.5,judge_k4
0.5B,csp,csp-0019,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0019,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0019,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0019,calib,judge,8,0.0,5152.0,judge_k8
0.5B,csp,csp-0019,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0019,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0019,calib,seq,3,0.0,1547.0,seq_r3
0.5B,csp,csp-0019,calib,seq,4,0.0,1971.0,seq_r4
0.5B,csp,csp-0019,calib,long,2,0.0,722.0,long_m2
0.5B,csp,csp-0019,calib,long,4,0.0,722.0,long_m4
0.5B,csp,csp-0019,calib,debate,6,0.0,2833.0,debate_a3r2
0.5B,csp,csp-0020,calib,single,1,0.0,387.0,
0.5B,csp,csp-0020,calib,vote,4,0.0,1548.0,vote_k4
0.5B,csp,csp-0020,calib,prog,4,0.0,1548.0,prog_k4
0.5B,csp,csp-0020,calib,oracle,4,0.0,1548.0,oracle_k4
0.5B,csp,csp-0020,calib,judge,4,0.0,2650.5,judge_k4
0.5B,csp,csp-0020,calib,vote,8,0.0,3096.0,vote_k8
0.5B,csp,csp-0020,calib,prog,8,0.0,3096.0,prog_k8
0.5B,csp,csp-0020,calib,oracle,8,0.0,3096.0,oracle_k8
0.5B,csp,csp-0020,calib,judge,8,0.0,5168.0,judge_k8
0.5B,csp,csp-0020,calib,seq,1,0.0,387.0,seq_r1
0.5B,csp,csp-0020,calib,seq,2,0.0,1125.0,seq_r2
0.5B,csp,csp-0020,calib,seq,3,0.0,1861.0,seq_r3
0.5B,csp,csp-0020,calib,seq,4,0.0,2598.0,seq_r4
0.5B,csp,csp-0020,calib,long,2,0.0,461.0,long_m2
0.5B,csp,csp-0020,calib,long,4,1.0,623.0,long_m4
0.5B,csp,csp-0020,calib,debate,6,0.0,2485.0,debate_a3r2
0.5B,csp,csp-0021,calib,single,1,0.0,386.0,
0.5B,csp,csp-0021,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0021,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0021,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0021,calib,judge,4,0.0,2628.0,judge_k4
0.5B,csp,csp-0021,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0021,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0021,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0021,calib,judge,8,0.0,5151.0,judge_k8
0.5B,csp,csp-0021,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0021,calib,seq,2,0.0,1122.0,seq_r2
0.5B,csp,csp-0021,calib,seq,3,0.0,1858.0,seq_r3
0.5B,csp,csp-0021,calib,seq,4,0.0,2594.0,seq_r4
0.5B,csp,csp-0021,calib,long,2,1.0,738.0,long_m2
0.5B,csp,csp-0021,calib,long,4,1.0,741.0,long_m4
0.5B,csp,csp-0021,calib,debate,6,0.0,2512.0,debate_a3r2
0.5B,csp,csp-0022,calib,single,1,0.0,386.0,
0.5B,csp,csp-0022,calib,vote,4,0.0,1485.5,vote_k4
0.5B,csp,csp-0022,calib,prog,4,0.0,1485.5,prog_k4
0.5B,csp,csp-0022,calib,oracle,4,0.0,1485.5,oracle_k4
0.5B,csp,csp-0022,calib,judge,4,0.0,2555.5,judge_k4
0.5B,csp,csp-0022,calib,vote,8,0.0,2971.0,vote_k8
0.5B,csp,csp-0022,calib,prog,8,0.0,2971.0,prog_k8
0.5B,csp,csp-0022,calib,oracle,8,0.0,2971.0,oracle_k8
0.5B,csp,csp-0022,calib,judge,8,0.0,5032.0,judge_k8
0.5B,csp,csp-0022,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0022,calib,seq,2,0.0,807.0,seq_r2
0.5B,csp,csp-0022,calib,seq,3,0.0,1229.0,seq_r3
0.5B,csp,csp-0022,calib,seq,4,0.0,1966.0,seq_r4
0.5B,csp,csp-0022,calib,long,2,0.0,738.0,long_m2
0.5B,csp,csp-0022,calib,long,4,1.0,769.0,long_m4
0.5B,csp,csp-0022,calib,debate,6,0.0,2434.0,debate_a3r2
0.5B,csp,csp-0023,calib,single,1,0.0,386.0,
0.5B,csp,csp-0023,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0023,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0023,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0023,calib,judge,4,0.0,2631.5,judge_k4
0.5B,csp,csp-0023,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0023,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0023,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0023,calib,judge,8,0.0,5173.0,judge_k8
0.5B,csp,csp-0023,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0023,calib,seq,2,0.0,1122.0,seq_r2
0.5B,csp,csp-0023,calib,seq,3,0.0,1858.0,seq_r3
0.5B,csp,csp-0023,calib,seq,4,0.0,2594.0,seq_r4
0.5B,csp,csp-0023,calib,long,2,0.0,548.0,long_m2
0.5B,csp,csp-0023,calib,long,4,0.0,548.0,long_m4
0.5B,csp,csp-0023,calib,debate,6,1.0,2498.0,debate_a3r2
0.5B,csp,csp-0024,calib,single,1,0.0,387.0,
0.5B,csp,csp-0024,calib,vote,4,0.0,1548.0,vote_k4
0.5B,csp,csp-0024,calib,prog,4,0.0,1548.0,prog_k4
0.5B,csp,csp-0024,calib,oracle,4,0.0,1548.0,oracle_k4
0.5B,csp,csp-0024,calib,judge,4,0.0,2652.5,judge_k4
0.5B,csp,csp-0024,calib,vote,8,0.0,3096.0,vote_k8
0.5B,csp,csp-0024,calib,prog,8,0.0,3096.0,prog_k8
0.5B,csp,csp-0024,calib,oracle,8,0.0,3096.0,oracle_k8
0.5B,csp,csp-0024,calib,judge,8,0.0,5221.0,judge_k8
0.5B,csp,csp-0024,calib,seq,1,0.0,387.0,seq_r1
0.5B,csp,csp-0024,calib,seq,2,0.0,912.0,seq_r2
0.5B,csp,csp-0024,calib,seq,3,0.0,1437.0,seq_r3
0.5B,csp,csp-0024,calib,seq,4,0.0,2175.0,seq_r4
0.5B,csp,csp-0024,calib,long,2,0.0,717.0,long_m2
0.5B,csp,csp-0024,calib,long,4,0.0,508.0,long_m4
0.5B,csp,csp-0024,calib,debate,6,0.0,2712.0,debate_a3r2
0.5B,csp,csp-0025,calib,single,1,0.0,386.0,
0.5B,csp,csp-0025,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0025,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0025,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0025,calib,judge,4,0.0,2673.5,judge_k4
0.5B,csp,csp-0025,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0025,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0025,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0025,calib,judge,8,0.0,5228.0,judge_k8
0.5B,csp,csp-0025,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0025,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0025,calib,seq,3,0.0,1860.0,seq_r3
0.5B,csp,csp-0025,calib,seq,4,0.0,2595.0,seq_r4
0.5B,csp,csp-0025,calib,long,2,0.0,717.0,long_m2
0.5B,csp,csp-0025,calib,long,4,0.0,717.0,long_m4
0.5B,csp,csp-0025,calib,debate,6,0.0,2582.0,debate_a3r2
0.5B,csp,csp-0026,calib,single,1,0.0,386.0,
0.5B,csp,csp-0026,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0026,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0026,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0026,calib,judge,4,0.0,2678.0,judge_k4
0.5B,csp,csp-0026,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0026,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0026,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0026,calib,judge,8,0.0,5214.0,judge_k8
0.5B,csp,csp-0026,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0026,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0026,calib,seq,3,0.0,1860.0,seq_r3
0.5B,csp,csp-0026,calib,seq,4,0.0,2596.0,seq_r4
0.5B,csp,csp-0026,calib,long,2,1.0,639.0,long_m2
0.5B,csp,csp-0026,calib,long,4,1.0,639.0,long_m4
0.5B,csp,csp-0026,calib,debate,6,0.0,2788.0,debate_a3r2
0.5B,csp,csp-0027,calib,single,1,0.0,386.0,
0.5B,csp,csp-0027,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0027,calib,prog,4,0.0,1544.0,prog_k4
0.5B,csp,csp-0027,calib,oracle,4,0.0,1544.0,oracle_k4
0.5B,csp,csp-0027,calib,judge,4,0.0,2597.0,judge_k4
0.5B,csp,csp-0027,calib,vote,8,0.0,3088.0,vote_k8
0.5B,csp,csp-0027,calib,prog,8,0.0,3088.0,prog_k8
0.5B,csp,csp-0027,calib,oracle,8,0.0,3088.0,oracle_k8
0.5B,csp,csp-0027,calib,judge,8,0.0,5104.0,judge_k8
0.5B,csp,csp-0027,calib,seq,1,0.0,386.0,seq_r1
0.5B,csp,csp-0027,calib,seq,2,0.0,1123.0,seq_r2
0.5B,csp,csp-0027,calib,seq,3,0.0,1860.0,seq_r3
0.5B,csp,csp-0027,calib,seq,4,0.0,2595.0,seq_r4
0.5B,csp,csp-0027,calib,long,2,1.0,636.0,long_m2
0.5B,csp,csp-0027,calib,long,4,1.0,636.0,long_m4
0.5B,csp,csp-0027,calib,debate,6,0.0,2452.0,debate_a3r2
0.5B,csp,csp-0028,calib,single,1,0.0,386.0,
0.5B,csp,csp-0028,calib,vote,4,0.0,1544.0,vote_k4
0.5B,csp,csp-0028,calib,prog,4,0.5,1544.0,prog_k4
